F1,F2,F3,F4,F5,F6,F7,Q1,Q1S1,Q1S2_1,Q1S2_2,Q1S2_3,Q1S2_4,Q1S2_5,Q1S2_6,Q1S2_7,Q1S2_8,Q1S2_9,Q2,Q2S1,Q2S2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3
1,34,3,1,1,1,3,1,9,,,,,,,,,,9,,,",,,,,,,,1",3,3,3,3,,2,
2,39,2,4,2,2,3,2,4,,,,,,,,,,3,2,,",,,,,1,,,",3,2,1,2,,,4
2,61,3,1,2,1,7,2,5,,,,,,,,,,8,,6,",1,,,1,1,,,",5,1,3,2,3,,
1,46,2,9,2,2,3,2,8,,,,,,,,,,2,1,,"1,,,1,1,,,,",5,5,5,5,,,3
1,22,4,6,3,2,2,1,1,,,,,,,,,,1,2,,",1,1,,,1,,,",5,3,4,4,,,4
2,48,4,7,2,1,2,1,2,,,,,,,,,,8,,8,",,,,,1,,,",5,1,1,2,,,2
1,31,2,1,1,2,6,1,2,,,,,,,,,,2,2,,",,1,,,1,,,",5,1,1,2,,3,
2,51,4,6,2,1,6,5,,,,,,,,,,,9,,,",,,,,,,,1",5,5,5,5,,1,
2,50,2,7,2,1,3,2,3,,,,,,,,,,3,2,,"1,,1,,,1,1,,",5,3,5,1,,,2
1,29,2,10,3,2,6,4,,1,,,,,,,,,8,,8,",,,,1,,,,",3,2,2,2,3,,
2,55,4,4,1,1,2,1,1,,,,,,,,,,1,2,,",,,,,,,,",4,3,4,2,,5,
1,36,3,9,1,1,3,2,2,,,,,,,,,,8,,2,"1,,1,1,1,,,,",5,2,2,2,4,,
1,61,4,1,2,2,7,4,,,,,,,1,,,,8,,9,"1,,,,,,,,",2,1,1,1,,,4
2,65,4,7,1,1,2,2,1,,,,,,,,,,1,2,,",1,1,,1,1,,,",5,1,4,2,,,5
1,62,3,3,1,1,9,1,1,,,,,,,,,,9,,,",,,,,,,,1",2,2,2,2,,5,
1,59,3,8,2,1,4,1,1,,,,,,,,,,1,2,,",1,,,1,1,,,",3,4,3,3,1,,
1,43,4,3,2,2,2,2,8,,,,,,,,,,8,,8,",,,,1,,,,",4,4,2,2,,,2
1,47,2,3,2,1,2,1,1,,,,,,,,,,9,,,",,,,,,,,1",5,4,3,2,,3,
1,43,4,2,1,2,2,1,1,,,,,,,,,,1,2,,",,,1,,,,,",5,4,5,2,1,,
2,49,2,6,1,1,9,4,,,,,,,,,,1,8,,8,",,,,,,,1,",3,3,4,3,3,,
1,44,4,9,2,2,2,5,,,,,,,,,,,9,,,",,,,1,,,,",5,3,3,3,,,1
2,78,4,7,2,1,2,2,2,,,,,,,,,,2,2,,"1,,,1,1,,,,",4,2,4,2,,,1
1,28,4,1,2,1,2,4,,,,,,,,,,1,9,,,",,,,,,,,1",3,3,3,3,,,2
1,46,2,9,2,1,1,2,1,,,,,,,,,,1,2,,",1,1,,1,1,,,",5,4,4,2,1,,
2,58,2,3,2,2,8,1,2,,,,,,,,,,3,2,,",,,,,,,,",5,4,3,2,,1,
1,45,4,7,2,2,7,1,5,,,,,,,,,,6,1,,",1,,,,,,,",5,5,4,5,1,,
2,43,4,9,2,1,3,1,1,,,,,,,,,,1,2,,",,,,,,,1,",5,1,1,2,2,,
1,74,2,1,2,2,3,1,4,,,,,,,,,,8,,6,"1,,,,,,,,",4,3,1,2,,,5
2,57,4,1,2,1,9,2,1,,,,,,,,,,1,2,,",,,,,,,,",3,3,3,3,,,3
2,37,4,9,3,2,2,2,4,,,,,,,,,,1,2,,",,,,,1,,,",4,4,3,2,,4,
2,27,2,1,2,1,8,1,9,,,,,,,,,,9,,,",,,,,,,,1",5,4,2,2,,,4
2,30,3,4,1,1,2,1,1,,,,,,,,,,8,,3,",,,,,1,,,",5,2,2,2,,,4
2,66,4,6,2,2,2,1,2,,,,,,,,,,2,2,,"1,,,,1,,,,",2,2,2,2,,,1
2,46,4,6,3,2,7,1,1,,,,,,,,,,9,,,",,,,1,1,,,",4,3,3,4,,,5
2,60,4,2,2,1,3,3,,,1,,,,,,,,8,,8,",,,,1,,,,",3,3,2,2,,,4
1,25,4,1,1,2,3,4,,,1,,,,,,,,1,2,,",1,1,,,1,,,",5,3,3,2,,3,
2,26,4,7,2,2,4,3,,,1,,,,1,,,,1,2,,",,,,,,,1,",2,1,2,2,2,,
1,72,4,6,1,2,2,2,8,,,,,,,,,,8,,2,",,,,,,,1,",4,4,2,2,1,,
1,44,3,8,2,1,7,2,1,,,,,,,,,,9,,,"1,,,,,,,,",2,3,3,3,,,1
1,75,2,8,1,1,6,2,1,,,,,,,,,,1,1,,"1,,,,,,,,",2,2,4,2,,,1
2,51,3,1,1,2,4,1,1,,,,,,,,,,1,2,,",1,1,,,1,,,",4,3,4,2,,2,
1,51,4,2,2,1,6,1,9,,,,,,,,,,8,,1,",,,1,1,,,,",5,2,5,2,,5,
1,44,4,7,2,1,8,3,,,1,,,,,,,,1,2,,",1,,,,,,,",3,2,3,2,,,5
1,65,3,7,2,1,4,4,,,,,,,,,,,8,,4,",,,,,,,1,",2,1,1,2,4,,
1,72,4,1,2,2,7,1,1,,,,,,,,,,8,,1,",,,,1,1,,,",4,4,3,2,3,,
1,49,4,6,2,2,2,1,3,,,,,,,,,,9,,,",,,,,,,,1",1,1,2,2,,,5
1,52,2,6,1,1,7,1,9,,,,,,,,,,9,,,",1,1,,1,1,,,",5,5,3,2,,,3
2,35,4,1,1,2,2,5,,,,,,,,,,,8,,8,",,,,,,,1,",3,4,3,2,,2,
1,26,4,3,2,1,3,1,2,,,,,,,,,,8,,2,"1,,,,,,,,",4,3,2,2,2,,
2,39,4,2,2,1,4,4,,,,,,,,,,1,8,,8,",,,,,,,1,",3,3,3,3,1,,
1,35,4,7,1,2,9,4,,,,,1,1,,,,,8,,1,",,,,,1,,,",3,3,3,2,4,,
2,45,4,9,1,2,4,3,,,,,,,,1,,,9,,,",,,,,,,,1",2,2,2,2,,,2
1,74,2,9,1,2,4,2,9,,,,,,,,,,1,2,,",1,1,,1,1,,,",4,4,2,2,,,4
2,47,3,2,2,1,6,1,6,,,,,,,,,,1,2,,",,,,1,,1,,",1,1,2,2,,3,
2,64,4,7,2,2,7,3,,,1,,,,,,,,1,2,,",,,,1,,,,",2,2,3,2,,3,
1,29,4,6,2,1,4,1,1,,,,,,,,,,1,2,,",1,1,,1,1,,,",5,3,4,2,,3,
1,46,4,1,1,1,9,3,,,1,,,,,,,,8,,2,"1,,,,1,,,,",4,3,4,3,,,1
2,43,1,7,2,1,6,1,9,,,,,,,,,,9,,,",,,,,,,1,",3,3,3,2,3,,
1,72,3,3,1,1,2,2,2,,,,,,,,,,9,,,",,,1,,,,,",5,1,3,2,,,5
1,27,4,3,2,2,9,5,,,,,,,,,,,8,,9,",,,,,,,1,",3,2,3,2,,,5
1,28,4,3,2,1,3,4,,,,,1,1,1,,,,4,2,,",,,,,1,,,",2,2,3,2,,4,
2,26,2,9,2,2,6,1,1,,,,,,,,,,1,2,,",,,,,1,,,",5,2,4,2,,,5
2,46,4,1,1,1,2,2,2,,,,,,,,,,8,,8,",,,,,,,1,",3,3,2,4,,,1
1,50,4,8,2,1,2,1,3,,,,,,,,,,1,2,,",,,,,1,,,",5,4,2,2,,2,
1,21,3,1,1,1,2,3,,,1,,,,,,,,3,2,,"1,,,,,,,,",3,3,3,3,,2,
2,70,2,1,2,2,6,4,,,,,,,,1,,,8,,1,",,,,,1,,,",2,2,3,2,4,,
1,32,3,1,2,2,1,1,1,,,,,,,,,,1,2,,",1,1,,1,1,,,",3,2,3,2,,4,
1,52,4,1,2,1,2,1,1,,,,,,,,,,8,,8,",,,,,1,,,",3,1,2,2,,4,
2,28,2,1,2,1,2,1,2,,,,,,,,,,2,2,,"1,,,,,,,,",3,2,2,2,,5,
2,29,1,7,2,2,2,2,1,,,,,,,,,,1,2,,",,,,,,,,",3,1,3,1,,,4
2,58,3,2,1,2,7,4,,,,,,,,,,,8,,5,",,,,,,,,",3,3,3,3,,2,
1,39,4,9,1,1,4,2,9,,,,,,,,,,8,,8,"1,1,1,1,1,,,,",4,5,4,2,,2,
2,70,4,6,2,1,4,3,,,,,,,,1,,,8,,8,",,,,,,,1,",2,2,2,2,,4,
2,57,4,9,2,1,9,1,1,,,,,,,,,,8,,1,",,,1,,,,,",5,2,2,2,2,,
2,56,4,3,2,1,3,4,,,,,,,,,,1,8,,8,",,,,,,,1,",3,3,3,3,,,3
1,39,4,1,2,1,6,1,9,,,,,,,,,,3,2,,",,,,1,,,,",4,1,1,2,,,3
1,71,3,7,3,1,1,4,,,,,,1,,,,,1,1,,",,,,,,,1,",3,1,1,3,4,,
1,76,1,7,2,1,7,2,1,,,,,,,,,,1,2,,",,,,,1,,,",4,3,4,2,,4,
2,50,3,1,2,2,4,4,,,,,1,,,,,,1,2,,",,,,,,,1,",2,3,3,2,,2,
1,35,3,1,1,1,6,1,9,,,,,,,,,,8,,2,"1,,,,1,,,,",4,2,5,3,,1,
2,60,4,10,1,1,8,1,9,,,,,,,,,,9,,,",,,,1,1,,,",3,3,3,3,,4,
2,25,2,7,2,2,3,2,1,,,,,,,,,,1,1,,",,,,,,,,1",5,5,5,5,,,5
2,52,4,6,2,2,2,1,9,,,,,,,,,,9,,,",,,,,,,1,",5,4,4,2,,,4
2,54,2,1,1,1,3,3,,,,,,,,1,,,1,2,,",1,,,,,,,",2,1,2,2,,,5
2,55,2,1,2,2,3,1,1,,,,,,,,,,1,2,,",1,1,,,1,,,",4,3,4,2,,4,
1,28,4,9,1,1,1,2,1,,,,,,,,,,1,2,,",,,,,,,1,",3,2,3,2,4,,
1,38,4,3,1,2,2,4,,,,,,,1,,,,4,2,,",,,,,1,,,",3,2,2,2,2,,
2,77,3,8,2,1,9,4,,,,,,,,,,1,8,,8,",,,,,,,1,",4,1,1,2,,4,
1,70,2,1,2,1,2,4,,,,,,,,,,,8,,8,",,,,,,,1,",2,2,2,2,,,1
2,36,4,7,2,1,4,3,,,,,,1,,,,,3,2,,",,,,,1,,,",2,2,2,2,,,3
2,49,2,1,1,1,2,4,,,,,,1,,,,,8,,8,",,,,,,,,1",3,3,3,3,,3,
2,26,4,6,1,1,2,2,2,,,,,,,,,,2,2,,"1,,,,,,,,",5,4,1,2,2,,
1,25,2,7,2,1,9,2,6,,,,,,,,,,8,,6,"1,,1,1,1,,,,",4,2,2,2,,,1
2,44,3,1,2,2,2,2,2,,,,,,,,,,2,2,,",,,,,,,,",3,1,2,2,,,2
1,69,2,6,2,1,9,1,1,,,,,,,,,,1,2,,",,,,,,,1,",4,4,2,2,,1,
2,30,4,9,3,2,2,4,,,,,,,1,,,,8,,8,",,,,,,,1,",5,5,5,5,,1,
2,54,4,1,2,1,9,4,,,,,,1,,,,,1,2,,",1,1,,,1,,,",2,1,4,2,,,5
2,37,2,9,2,1,3,1,3,,,,,,,,,,1,2,,"1,,,,,,,,",2,2,2,2,,,5
2,58,3,9,2,1,6,1,5,,,,,,,,,,2,2,,",,,,,,,,",5,4,3,2,,,5
1,66,2,2,1,2,2,1,1,,,,,,,,,,1,2,,",,1,,,,,,",2,1,4,2,,,2
2,62,4,6,3,2,2,1,3,,,,,,,,,,1,2,,",1,1,,1,1,1,,",4,3,3,2,1,,
2,51,4,7,1,1,7,1,3,,,,,,,,,,1,2,,",1,1,,,1,,,",5,2,5,2,,,2
2,67,4,10,2,1,2,1,9,,,,,,,,,,9,,,",,,,,,,1,",5,4,4,2,,,3
1,26,4,6,1,1,2,2,3,,,,,,,,,,8,,4,",1,1,,,,,,",2,2,1,2,3,,
2,46,3,7,2,1,1,3,,,,,,,1,,,,9,,,",,,,,,,,",3,4,4,3,,,2
2,70,3,9,3,1,2,2,3,,,,,,,,,,8,,7,",,,,,,,,",3,4,2,2,4,,
1,71,2,7,2,1,7,4,,,,,,,1,,,,8,,8,",,,,,,,1,",2,4,2,2,,,2
2,70,4,2,2,2,2,2,1,,,,,,,,,,1,2,,",,,,,1,,,",3,3,3,3,,5,
1,43,2,1,2,1,2,2,1,,,,,,,,,,1,2,,",1,1,,,1,,,",4,2,3,2,,1,
2,66,4,1,1,1,7,1,1,,,,,,,,,,1,2,,",1,1,,,1,,,",3,3,3,3,,,4
2,39,4,9,3,1,3,1,3,,,,,,,,,,2,2,,"1,,,,1,,,,",5,4,2,2,,1,
1,68,4,1,2,1,4,1,1,,,,,,,,,,1,2,,",1,1,,,1,,,",5,5,5,2,,2,
1,32,4,9,2,1,2,1,9,,,,,,,,,,8,,8,",,,,,,,1,",2,2,2,2,,1,
2,64,4,7,1,2,7,2,4,,,,,,,,,,3,1,,",1,,,,1,,,",5,5,3,2,,,4
2,27,4,3,2,1,3,1,1,,,,,,,,,,1,2,,",1,,,1,,,,",5,1,5,2,,4,
2,57,2,2,1,2,3,2,8,,,,,,,,,,6,2,,"1,,,,1,,,,",5,4,3,2,1,,
1,24,4,4,2,2,3,4,,,,,,,,,,1,8,,8,",,,,,,,,",4,3,2,2,1,,
1,31,4,1,2,1,6,2,1,,,,,,,,,,1,2,,",,,,,1,,,",5,4,3,2,2,,
1,37,3,9,1,1,1,2,9,,,,,,,,,,3,2,,"1,,,,1,,,,",5,2,2,2,,1,
2,71,4,1,1,1,2,4,,,,,,,,,1,,3,2,,",,,,1,,,,",2,2,2,2,,4,
2,71,4,1,1,2,6,3,,,,,1,,,,,,8,,1,",,,,,,,1,",1,1,1,2,4,,
1,47,4,1,2,1,7,4,,,,,,1,,,,,9,,,",,,,,,,1,",1,2,1,1,1,,
2,52,2,6,2,1,9,3,,,1,,,1,,,,,1,2,,",,,,,,,,1",4,1,2,2,,4,
2,68,2,8,2,1,4,4,,,,,,,,,,1,1,2,,",1,1,,1,1,,,",3,3,3,3,,,3
2,60,2,9,2,2,9,2,2,,,,,,,,,,3,2,,",,,,,,,1,",3,3,3,3,4,,
2,50,2,4,1,2,8,4,,,,,,1,,,,,1,1,,",,,,,1,,,",2,2,3,3,,5,
2,59,4,1,2,2,3,2,2,,,,,,,,,,1,2,,",,,,,,,,",5,4,4,2,3,,
1,68,4,9,1,1,9,4,,,,,1,,1,,,,8,,8,",,,,,,,1,",3,3,3,3,,,1
1,21,3,9,3,1,3,3,,,,1,,,,,,,8,,1,",,,,,1,,,",4,2,4,2,,2,
2,41,4,10,1,1,6,4,,,,,,1,,,,,1,2,,",1,1,,,1,,,",4,1,3,4,,,3
1,66,2,7,2,1,2,4,,,,,,,,,,,8,,8,",,,,,,,1,",1,1,2,2,3,,
2,50,4,1,1,2,6,1,9,,,,,,,,,,8,,8,",,,,,,,1,",5,3,1,2,,3,
2,36,3,3,2,2,3,3,,,1,,,,,,,,7,2,,",,,,,,,1,",4,3,2,2,4,,
1,65,2,6,2,1,4,3,,,,,,,,1,,,1,2,,",1,,1,,1,,,",5,1,4,2,,,1
1,50,2,1,2,2,3,3,,,,1,,,,,,,8,,8,",,,,,,,1,",3,3,3,2,,,5
1,69,2,6,1,1,9,2,3,,,,,,,,,,8,,8,",,,,,,,,",3,2,3,2,,4,
1,75,4,3,1,2,1,1,2,,,,,,,,,,1,2,,",,,,,,,1,",5,1,3,2,,,2
2,29,2,7,2,1,2,1,9,,,,,,,,,,9,,,",,,,,,,,",2,4,2,4,,,4
2,38,4,6,2,2,2,1,3,,,,,,,,,,3,1,,"1,,,1,1,,,,",5,2,5,2,,2,
1,42,2,3,2,2,2,4,,,,,1,1,,,,,8,,8,",,,,,,,1,",3,2,4,2,,4,
1,59,4,1,2,1,2,3,,,,1,,,,,,,8,,8,",,,,,,,1,",4,2,2,2,,,3
2,55,3,6,1,1,2,1,1,,,,,,,,,,1,2,,",,,,,,,1,",2,2,2,2,,,3
2,66,3,6,1,2,9,2,1,,,,,,,,,,1,2,,",1,,,,1,,,",5,4,4,3,4,,
2,46,4,8,1,2,1,1,2,,,,,,,,,,2,2,,"1,,,,1,,,,",3,4,3,2,4,,
1,48,1,7,2,2,9,4,,,,,,,,,,1,8,,8,",,,,,,,,1",2,1,3,2,,1,
2,69,3,6,1,1,1,3,,,,,,,,1,,,9,,,",,,,,,,1,",3,3,3,2,,,2
1,37,4,1,3,2,2,4,,,,,1,,1,,,,8,,2,"1,,,,,,,,",3,3,3,3,,5,
2,48,4,9,2,2,2,2,9,,,,,,,,,,9,,,",,,,,,,,",4,1,4,2,,,1
1,37,4,1,2,2,6,4,,,,,,,,1,,,1,2,,",,,,1,,,,",3,1,2,4,1,,
2,22,4,9,2,1,1,2,2,,,,,,,,,,2,2,,"1,,,,,,,,",5,5,2,2,4,,
1,41,2,1,2,2,1,2,2,,,,,,,,,,8,,8,"1,,,,1,,,,",3,3,3,2,1,,
2,60,4,4,1,1,3,2,2,,,,,,,,,,2,2,,"1,,,,,,,,",5,5,3,4,,5,
1,63,4,7,2,1,3,2,4,,,,,,,,,,3,2,,",,,1,,1,,,",5,3,3,2,2,,
2,46,4,9,2,1,7,1,9,,,,,,,,,,9,,,",,,,,,,1,",3,3,3,2,,,1
1,35,3,9,1,2,3,1,4,,,,,,,,,,1,2,,",,,,,1,,,",4,2,3,2,,,4
1,68,3,8,1,1,4,3,,,,,1,,,,,,9,,,",,,,,,,,1",3,3,3,3,,,5
1,64,2,6,2,1,4,2,8,,,,,,,,,,6,2,,"1,,,,1,1,,,",4,2,2,2,,,3
1,43,3,7,1,1,6,1,2,,,,,,,,,,2,2,,"1,,,,,,,,",5,1,4,2,4,,
2,57,2,7,1,2,2,1,1,,,,,,,,,,1,2,,",,,,,1,,,",2,4,2,2,,2,
2,53,2,2,2,1,3,2,3,,,,,,,,,,4,2,,",,,,1,1,,,",4,4,3,3,,,1
2,71,3,6,2,1,9,1,4,,,,,,,,,,6,2,,",,,,,,,1,",5,4,4,2,2,,
1,75,2,8,2,2,2,2,3,,,,,,,,,,8,,8,",,,,1,,,,",4,1,2,2,4,,
2,73,2,7,1,1,3,1,1,,,,,,,,,,1,2,,",1,,,,1,,,",5,3,2,4,,,2
2,32,3,6,2,1,1,1,1,,,,,,,,,,8,,1,",,,,,1,,,",2,2,2,2,,,5
2,43,3,7,1,1,3,2,1,,,,,,,,,,8,,8,",,,,,1,,,",3,2,2,2,2,,
1,47,4,9,2,1,2,4,,,,,,,1,,,,8,,8,",,,,1,,,,",4,1,1,2,,4,
2,28,4,3,2,2,3,1,1,,,,,,,,,,1,2,,",1,,,,,,,",4,1,3,2,,3,
2,27,2,1,2,2,4,1,1,,,,,,,,,,1,2,,",,,,,1,,,",3,3,3,2,,3,
2,56,2,6,3,1,1,2,4,,,,,,,,,,3,2,,"1,1,1,1,,,,,",5,5,4,2,2,,
2,22,4,7,2,1,2,4,,,1,,,,,,,,8,,8,"1,,,,,,,,",1,1,4,2,3,,
2,34,4,7,2,1,2,1,1,,,,,,,,,,1,2,,",1,1,,,1,,,",5,3,5,2,,5,
2,28,4,6,1,1,3,1,2,,,,,,,,,,8,,4,"1,1,1,,1,,,,",5,3,3,2,,,3
1,45,4,7,2,2,7,1,6,,,,,,,,,,6,2,,",,,,1,,,,",2,1,2,2,,4,
2,56,4,6,2,2,3,1,3,,,,,,,,,,4,2,,",,,,,1,,,",4,2,3,2,,4,
1,60,4,1,2,2,1,1,6,,,,,,,,,,6,1,,",,,,,,,,",2,2,2,3,,3,
2,60,4,1,2,1,8,5,,,,,,,,,,,9,,,",,,,,,,,1",3,3,3,3,1,,
1,70,2,1,1,2,1,4,,,1,,,,,,,,8,,8,",,,,,,,,1",2,2,2,2,,,1
1,39,3,7,1,1,2,2,1,,,,,,,,,,3,2,,",,,1,1,,,,",3,1,3,2,,,4
1,39,3,7,1,1,2,1,2,,,,,,,,,,8,,5,",,,,,,,,1",5,4,3,2,,2,
1,64,4,7,2,1,2,2,9,,,,,,,,,,9,,,",,,,,,,,1",5,5,5,5,,4,
1,59,3,7,1,1,3,4,,,,,,1,,,,,1,2,,",1,1,,,,,,",3,1,3,2,,3,
1,41,3,7,2,1,7,2,3,,,,,,,,,,4,2,,"1,,,,,,,,",5,3,4,2,3,,
2,21,4,1,2,2,9,1,3,,,,,,,,,,1,2,,",,1,,,1,,,",4,2,2,2,,1,
1,54,2,10,1,1,3,2,8,,,,,,,,,,4,2,,",1,1,,1,,,,",5,5,5,2,,3,
1,67,3,7,2,2,9,1,2,,,,,,,,,,8,,8,"1,,,,,,,,",3,5,5,2,,5,
2,70,4,1,1,1,9,3,,,,1,,,,,,,8,,8,",,,,,,,1,",2,2,2,2,1,,
1,72,4,6,2,2,2,5,,,,,,,,,,,8,,8,",,,,,,,1,",3,3,3,3,,,3
1,40,2,1,1,1,9,5,,,,,,,,,,,9,,,",,,,,,,,1",5,5,5,5,,1,
1,34,2,3,1,2,2,2,1,,,,,,,,,,1,2,,",1,,,,1,,,",4,3,3,4,1,,
2,35,2,10,1,1,2,2,8,,,,,,,,,,8,,9,"1,,,,1,1,,,",4,1,1,3,4,,
1,31,4,1,2,2,3,2,1,,,,,,,,,,1,2,,",,,,,1,,,",4,1,4,2,2,,
2,62,3,9,1,1,1,3,,,,,,,,,1,,1,2,,",,,,,1,,,",5,5,5,2,,4,
1,69,4,1,2,1,3,3,,,1,,,,,,,,8,,8,",,,,1,,,,",2,2,2,1,,5,
1,31,4,3,1,1,4,1,9,,,,,,,,,,8,,4,",,,,,1,,,",5,5,2,2,,1,
1,77,4,9,2,1,3,1,3,,,,,,,,,,1,2,,",1,,,,,,,",5,4,3,2,4,,
2,45,4,7,1,2,8,3,,,,1,,,,,,,1,2,,",1,,,,,,,",4,4,2,2,,1,
2,69,4,6,1,1,7,3,,1,1,,,,,1,,,2,2,,",,,,,,,,",2,2,3,3,,,1
1,28,2,1,1,2,9,1,2,,,,,,,,,,8,,2,"1,,,,1,,,,",5,3,2,2,,,3
2,47,4,1,1,1,2,1,9,,,,,,,,,,6,2,,",,,,,,,,",5,2,2,2,3,,
2,27,4,3,1,1,2,1,2,,,,,,,,,,2,2,,"1,,,,,,,,",3,2,5,4,,,2
